,model,layer,accuracy,experiment
0,alexnet,ReLU-1,0,curv
1,alexnet,ReLU-1,0,curv
2,alexnet,ReLU-1,0,curv
3,alexnet,ReLU-1,0,curv
4,alexnet,ReLU-1,0,curv
5,alexnet,ReLU-1,0,curv
6,alexnet,ReLU-1,1,curv
7,alexnet,ReLU-1,0,curv
8,alexnet,ReLU-1,0,curv
9,alexnet,ReLU-1,0,curv
10,alexnet,ReLU-1,0,curv
11,alexnet,ReLU-1,0,curv
12,alexnet,ReLU-1,0,curv
13,alexnet,ReLU-1,0,curv
14,alexnet,ReLU-1,0,curv
15,alexnet,ReLU-1,0,curv
16,alexnet,ReLU-1,1,curv
17,alexnet,ReLU-1,0,curv
18,alexnet,ReLU-1,0,curv
19,alexnet,ReLU-1,0,curv
20,alexnet,ReLU-1,0,curv
21,alexnet,ReLU-1,0,curv
22,alexnet,ReLU-1,0,curv
23,alexnet,ReLU-1,0,curv
24,alexnet,ReLU-1,0,curv
25,alexnet,ReLU-1,0,curv
26,alexnet,ReLU-1,0,curv
27,alexnet,ReLU-1,0,curv
28,alexnet,ReLU-1,0,curv
29,alexnet,ReLU-1,0,curv
30,alexnet,ReLU-1,0,curv
31,alexnet,ReLU-1,0,curv
32,alexnet,ReLU-1,0,curv
33,alexnet,ReLU-1,0,curv
34,alexnet,ReLU-1,0,curv
35,alexnet,ReLU-1,0,curv
36,alexnet,ReLU-1,0,curv
37,alexnet,ReLU-1,0,curv
38,alexnet,ReLU-1,0,curv
39,alexnet,ReLU-1,0,curv
40,alexnet,ReLU-1,0,curv
41,alexnet,ReLU-1,0,curv
42,alexnet,ReLU-1,0,curv
43,alexnet,ReLU-1,0,curv
44,alexnet,ReLU-1,0,curv
45,alexnet,ReLU-1,0,curv
46,alexnet,ReLU-1,0,curv
47,alexnet,ReLU-1,1,curv
48,alexnet,ReLU-1,0,curv
49,alexnet,ReLU-1,0,curv
50,alexnet,ReLU-1,0,curv
51,alexnet,ReLU-1,0,curv
52,alexnet,ReLU-1,0,curv
53,alexnet,ReLU-1,0,curv
54,alexnet,ReLU-1,0,curv
55,alexnet,ReLU-1,0,curv
56,alexnet,ReLU-1,0,curv
57,alexnet,ReLU-1,0,curv
58,alexnet,ReLU-1,0,curv
59,alexnet,ReLU-1,0,curv
60,alexnet,ReLU-1,0,curv
61,alexnet,ReLU-1,0,curv
62,alexnet,ReLU-1,0,curv
63,alexnet,ReLU-1,0,curv
64,alexnet,ReLU-1,0,curv
65,alexnet,ReLU-1,0,curv
66,alexnet,ReLU-1,0,curv
67,alexnet,ReLU-1,0,curv
68,alexnet,ReLU-1,0,curv
69,alexnet,ReLU-1,0,curv
70,alexnet,ReLU-1,0,curv
71,alexnet,ReLU-1,0,curv
72,alexnet,ReLU-1,0,curv
73,alexnet,ReLU-1,0,curv
74,alexnet,ReLU-1,0,curv
75,alexnet,ReLU-1,0,curv
76,alexnet,ReLU-1,0,curv
77,alexnet,ReLU-1,0,curv
78,alexnet,ReLU-1,0,curv
79,alexnet,ReLU-1,0,curv
80,alexnet,ReLU-1,0,curv
81,alexnet,ReLU-1,1,curv
82,alexnet,ReLU-1,0,curv
83,alexnet,ReLU-1,0,curv
84,alexnet,ReLU-1,0,curv
85,alexnet,ReLU-1,0,curv
86,alexnet,ReLU-1,0,curv
87,alexnet,ReLU-1,1,curv
88,alexnet,ReLU-1,0,curv
89,alexnet,ReLU-1,0,curv
90,alexnet,ReLU-1,0,curv
91,alexnet,ReLU-1,0,curv
92,alexnet,ReLU-1,0,curv
93,alexnet,ReLU-1,0,curv
94,alexnet,ReLU-1,0,curv
